Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S03-A07,434_1,Reference,1,,TNF ALPHA,Test,B-actin,16.68779862,0.84,Pass,0.035619194,999,0,Fail,5.37250322,0.775,Pass,999,0,Fail
S03-A08,434_1,Reference,1,,PI3,Test,B-actin,15.4766632,0.81,Pass,0.033657989,999,0,Fail,4.161367795,0.775,Pass,999,0,Fail
S03-A09,434_1,Reference,1,,IL-10,Test,B-actin,18.93978857,0.96,Pass,0.052633033,999,0,Fail,7.624493162,0.775,Pass,999,0,Fail
S03-A10,434_1,Reference,1,,IFIT1,Test,B-actin,18.34761102,0.94,Pass,0.061441596,999,0,Fail,7.032315617,0.775,Pass,999,0,Fail
S03-A11,434_1,Reference,1,,G1P2/ISG15,Test,B-actin,19.16808928,0.24,Fail,0.01597179,999,0,Fail,7.852793873,0.24,Fail,999,0,Fail
S03-A12,434_1,Reference,1,,IFI44,Test,B-actin,18.66403824,0.9,Pass,0.057802747,999,0,Fail,7.348742833,0.775,Pass,999,0,Fail
S03-A13,434_1,Reference,1,,PRKR,Test,B-actin,17.27632976,0.85,Pass,0.042447337,999,0,Fail,5.961034356,0.775,Pass,999,0,Fail
S03-A14,434_1,Reference,1,,INFB1,Test,B-actin,25.66740303,0.92,Pass,0.045050435,999,0,Fail,14.35210762,0.775,Pass,999,0,Fail
S03-A15,434_1,Reference,1,,CCL-24,Test,B-actin,16.44533277,0.9,Pass,0.04242992,999,0,Fail,5.130037361,0.775,Pass,999,0,Fail
S03-A16,434_1,Reference,1,,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
